,County,Sites
877,"Bell County, KY",5
878,"Boone County, KY",14
879,"Bourbon County, KY",2
880,"Boyd County, KY",6
881,"Boyle County, KY",2
882,"Bracken County, KY",2
883,"Breathitt County, KY",2
884,"Bullitt County, KY",13
885,"Butler County, KY",1
886,"Caldwell County, KY",1
887,"Calloway County, KY",4
888,"Campbell County, KY",8
889,"Carlisle County, KY",1
890,"Carroll County, KY",3
891,"Carter County, KY",2
892,"Casey County, KY",3
893,"Christian County, KY",3
894,"Clark County, KY",6
895,"Clay County, KY",2
896,"Crittenden County, KY",1
897,"Daviess County, KY",10
898,"Elliott County, KY",1
899,"Estill County, KY",3
900,"Fayette County, KY",33
901,"Fleming County, KY",1
902,"Floyd County, KY",9
903,"Franklin County, KY",7
904,"Fulton County, KY",1
905,"Gallatin County, KY",1
906,"Garrard County, KY",2
907,"Grant County, KY",1
908,"Graves County, KY",2
909,"Grayson County, KY",1
910,"Green County, KY",1
911,"Greenup County, KY",4
912,"Hardin County, KY",7
913,"Harlan County, KY",4
914,"Harrison County, KY",3
915,"Hart County, KY",2
916,"Henderson County, KY",5
917,"Henry County, KY",1
918,"Hopkins County, KY",6
919,"Jackson County, KY",2
920,"Jefferson County, KY",91
921,"Jessamine County, KY",7
922,"Johnson County, KY",1
923,"Kenton County, KY",18
924,"Knott County, KY",1
925,"Knox County, KY",5
926,"Larue County, KY",2
927,"Laurel County, KY",4
928,"Lawrence County, KY",2
929,"Lee County, KY",2
930,"Leslie County, KY",2
931,"Letcher County, KY",4
932,"Lewis County, KY",3
933,"Lincoln County, KY",1
934,"Logan County, KY",3
935,"Lyon County, KY",1
936,"Madison County, KY",9
937,"Magoffin County, KY",1
938,"Marion County, KY",1
939,"Marshall County, KY",3
940,"Martin County, KY",2
941,"Mason County, KY",3
942,"McCracken County, KY",9
943,"McCreary County, KY",2
944,"McLean County, KY",1
945,"Meade County, KY",2
946,"Mercer County, KY",2
947,"Metcalfe County, KY",1
948,"Montgomery County, KY",4
949,"Morgan County, KY",3
950,"Muhlenberg County, KY",4
951,"Nelson County, KY",2
952,"Oldham County, KY",3
953,"Owen County, KY",4
954,"Owsley County, KY",1
955,"Pendleton County, KY",1
956,"Perry County, KY",7
957,"Pike County, KY",8
958,"Powell County, KY",2
959,"Pulaski County, KY",8
960,"Rockcastle County, KY",2
961,"Rowan County, KY",2
962,"Russell County, KY",2
963,"Scott County, KY",4
964,"Shelby County, KY",4
965,"Simpson County, KY",2
966,"Taylor County, KY",1
967,"Todd County, KY",1
968,"Union County, KY",1
969,"Warren County, KY",12
970,"Washington County, KY",1
971,"Wayne County, KY",1
972,"Webster County, KY",1
973,"Whitley County, KY",3
974,"Wolfe County, KY",1
975,"Woodford County, KY",2
976,"Acadia Parish, LA",4
977,"Allen Parish, LA",2
978,"Ascension Parish, LA",10
979,"Avoyelles Parish, LA",3
980,"Beauregard Parish, LA",2
981,"Bienville Parish, LA",1
982,"Bossier Parish, LA",13
983,"Caddo Parish, LA",26
984,"Calcasieu Parish, LA",22
985,"Caldwell Parish, LA",1
986,"Claiborne Parish, LA",1
987,"Concordia Parish, LA",2
988,"De Soto Parish, LA",2
989,"East Baton Rouge Parish, LA",52
990,"East Feliciana Parish, LA",1
991,"Evangeline Parish, LA",2
992,"Franklin Parish, LA",2
993,"Iberia Parish, LA",8
994,"Iberville Parish, LA",3
995,"Jackson Parish, LA",2
996,"Jefferson Parish, LA",47
997,"Jefferson Davis Parish, LA",3
998,"La Salle Parish, LA",1
999,"Lafayette Parish, LA",32
1000,"Lafourche Parish, LA",8
1001,"Lincoln Parish, LA",4
1002,"Livingston Parish, LA",8
1003,"Morehouse Parish, LA",2
1004,"Natchitoches Parish, LA",2
1005,"Orleans Parish, LA",33
1006,"Ouachita Parish, LA",18
1007,"Plaquemines Parish, LA",1
1008,"Pointe Coupee Parish, LA",2
1009,"Rapides Parish, LA",13
1010,"Richland Parish, LA",2
1011,"Sabine Parish, LA",1
1012,"St. Bernard Parish, LA",5
1013,"St. Charles Parish, LA",7
1014,"St. Helena Parish, LA",1
1015,"St. James Parish, LA",2
1016,"St. John the Baptist Parish, LA",5
1017,"St. Landry Parish, LA",5
1018,"St. Martin Parish, LA",4
1019,"St. Mary Parish, LA",6
1020,"St. Tammany Parish, LA",28
1021,"Tangipahoa Parish, LA",12
1022,"Terrebonne Parish, LA",18
1023,"Union Parish, LA",2
1024,"Vermilion Parish, LA",6
1025,"Vernon Parish, LA",1
1026,"Washington Parish, LA",5
1027,"Webster Parish, LA",4
1028,"West Baton Rouge Parish, LA",1
1029,"West Carroll Parish, LA",2
1030,"West Feliciana Parish, LA",1
1031,"Winn Parish, LA",1
1032,"Barnstable County, MA",37
1033,"Berkshire County, MA",17
1034,"Bristol County, MA",52
1035,"Dukes County, MA",1
1036,"Essex County, MA",74
1037,"Franklin County, MA",5
1038,"Hampden County, MA",54
1039,"Hampshire County, MA",16
1040,"Middlesex County, MA",155
1041,"Nantucket County, MA",2
1042,"Norfolk County, MA",77
1043,"Plymouth County, MA",47
1044,"Suffolk County, MA",81
1045,"Worcester County, MA",69
1046,"Allegany County, MD",4
1047,"Anne Arundel County, MD",46
1048,"Baltimore city, MD",41
1049,"Baltimore County, MD",53
1050,"Calvert County, MD",7
1051,"Caroline County, MD",4
1052,"Carroll County, MD",11
1053,"Cecil County, MD",5
1054,"Charles County, MD",18
1055,"Dorchester County, MD",5
1056,"Frederick County, MD",19
1057,"Garrett County, MD",5
1058,"Harford County, MD",22
1059,"Howard County, MD",16
1060,"Kent County, MD",2
1061,"Montgomery County, MD",64
1062,"Prince George's County, MD",71
1063,"Queen Anne's County, MD",4
1064,"Somerset County, MD",3
1065,"St. Mary's County, MD",10
1066,"Talbot County, MD",7
1067,"Washington County, MD",12
1068,"Wicomico County, MD",15
1069,"Worcester County, MD",13
1070,"Androscoggin County, ME",22
1071,"Aroostook County, ME",21
1072,"Cumberland County, ME",43
1073,"Franklin County, ME",3
1074,"Hancock County, ME",13
1075,"Kennebec County, ME",28
1076,"Knox County, ME",5
1077,"Lincoln County, ME",2
1078,"Oxford County, ME",9
1079,"Penobscot County, ME",28
1080,"Piscataquis County, ME",5
1081,"Sagadahoc County, ME",5
1082,"Somerset County, ME",7
1083,"Waldo County, ME",2
1084,"Washington County, ME",9
1085,"York County, ME",24
1086,"Alcona County, MI",1
1087,"Allegan County, MI",7
1088,"Alpena County, MI",9
1089,"Antrim County, MI",2
1090,"Barry County, MI",1
1091,"Bay County, MI",8
1092,"Berrien County, MI",8
1093,"Branch County, MI",2
1094,"Calhoun County, MI",13
1095,"Cass County, MI",1
1096,"Charlevoix County, MI",1
1097,"Cheboygan County, MI",3
1098,"Clinton County, MI",3
1099,"Crawford County, MI",1
1100,"Delta County, MI",1
1101,"Eaton County, MI",9
1102,"Emmet County, MI",3
1103,"Genesee County, MI",58
1104,"Gladwin County, MI",2
1105,"Grand Traverse County, MI",9
1106,"Gratiot County, MI",2
1107,"Hillsdale County, MI",2
1108,"Huron County, MI",1
1109,"Ingham County, MI",29
1110,"Ionia County, MI",3
1111,"Iosco County, MI",1
1112,"Isabella County, MI",5
1113,"Jackson County, MI",9
1114,"Kalamazoo County, MI",14
1115,"Kalkaska County, MI",1
1116,"Kent County, MI",29
1117,"Lake County, MI",2
1118,"Lapeer County, MI",6
1119,"Lenawee County, MI",4
1120,"Livingston County, MI",9
1121,"Macomb County, MI",95
1122,"Manistee County, MI",2
1123,"Marquette County, MI",3
1124,"Mason County, MI",1
1125,"Mecosta County, MI",2
1126,"Menominee County, MI",1
1127,"Midland County, MI",5
1128,"Missaukee County, MI",1
1129,"Monroe County, MI",8
1130,"Montcalm County, MI",1
1131,"Montmorency County, MI",1
1132,"Muskegon County, MI",11
1133,"Newaygo County, MI",4
1134,"Oakland County, MI",133
1135,"Oceana County, MI",1
1136,"Osceola County, MI",1
1137,"Oscoda County, MI",1
1138,"Otsego County, MI",1
1139,"Ottawa County, MI",7
1140,"Presque Isle County, MI",1
1141,"Roscommon County, MI",1
1142,"Saginaw County, MI",20
1143,"Sanilac County, MI",1
1144,"Shiawassee County, MI",5
1145,"St. Clair County, MI",14
1146,"St. Joseph County, MI",4
1147,"Tuscola County, MI",1
1148,"Van Buren County, MI",4
1149,"Washtenaw County, MI",28
1150,"Wayne County, MI",151
1151,"Wexford County, MI",2
1152,"Aitkin County, MN",1
1153,"Anoka County, MN",25
1154,"Becker County, MN",2
1155,"Beltrami County, MN",5
1156,"Benton County, MN",2
1157,"Blue Earth County, MN",7
1158,"Brown County, MN",2
1159,"Carlton County, MN",2
1160,"Carver County, MN",6
1161,"Chisago County, MN",1
1162,"Clay County, MN",7
1163,"Clearwater County, MN",1
1164,"Cottonwood County, MN",2
1165,"Crow Wing County, MN",4
1166,"Dakota County, MN",34
1167,"Dodge County, MN",1
1168,"Douglas County, MN",3
1169,"Fillmore County, MN",2
1170,"Freeborn County, MN",3
1171,"Goodhue County, MN",3
1172,"Hennepin County, MN",69
1173,"Hubbard County, MN",2
1174,"Isanti County, MN",2
1175,"Itasca County, MN",3
1176,"Kandiyohi County, MN",2
1177,"Lac qui Parle County, MN",1
1178,"Lake of the Woods County, MN",1
1179,"Le Sueur County, MN",1
1180,"Lyon County, MN",1
1181,"Martin County, MN",2
1182,"McLeod County, MN",2
1183,"Morrison County, MN",1
1184,"Mower County, MN",3
1185,"Nicollet County, MN",2
1186,"Nobles County, MN",2
1187,"Norman County, MN",1
1188,"Olmsted County, MN",11
1189,"Otter Tail County, MN",6
1190,"Pennington County, MN",2
1191,"Pine County, MN",1
1192,"Polk County, MN",4
1193,"Ramsey County, MN",33
1194,"Red Lake County, MN",1
1195,"Rice County, MN",3
1196,"Roseau County, MN",1
1197,"Scott County, MN",9
1198,"Sherburne County, MN",2
1199,"St. Louis County, MN",14
1200,"Stearns County, MN",12
1201,"Steele County, MN",4
1202,"Todd County, MN",2
1203,"Wabasha County, MN",1
1204,"Wadena County, MN",3
1205,"Waseca County, MN",1
1206,"Washington County, MN",21
1207,"Wilkin County, MN",1
1208,"Winona County, MN",5
1209,"Wright County, MN",8
1210,"Adair County, MO",3
1211,"Atchison County, MO",2
1212,"Audrain County, MO",2
1213,"Barry County, MO",2
1214,"Barton County, MO",1
1215,"Bates County, MO",1
1216,"Benton County, MO",1
1217,"Bollinger County, MO",2
1218,"Boone County, MO",14
1219,"Buchanan County, MO",10
1220,"Butler County, MO",8
1221,"Callaway County, MO",2
1222,"Cape Girardeau County, MO",12
1223,"Carroll County, MO",1
1224,"Cass County, MO",6
1225,"Cedar County, MO",2
1226,"Chariton County, MO",2
1227,"Christian County, MO",2
1228,"Clay County, MO",19
1229,"Clinton County, MO",1
1230,"Cole County, MO",8
1231,"Cooper County, MO",1
1232,"Crawford County, MO",2
1233,"Dallas County, MO",1
1234,"Daviess County, MO",1
1235,"Dent County, MO",1
1236,"Douglas County, MO",2
1237,"Dunklin County, MO",2
1238,"Franklin County, MO",10
1239,"Gasconade County, MO",1
1240,"Gentry County, MO",1
1241,"Greene County, MO",25
1242,"Grundy County, MO",1
1243,"Harrison County, MO",2
1244,"Henry County, MO",3
1245,"Howell County, MO",5
1246,"Iron County, MO",3
1247,"Jackson County, MO",55
1248,"Jasper County, MO",13
1249,"Jefferson County, MO",10
1250,"Johnson County, MO",3
1251,"Laclede County, MO",2
1252,"Lafayette County, MO",2
1253,"Lawrence County, MO",3
1254,"Lincoln County, MO",3
1255,"Linn County, MO",2
1256,"Livingston County, MO",3
1257,"Macon County, MO",3
1258,"Madison County, MO",2
1259,"Marion County, MO",2
1260,"McDonald County, MO",1
1261,"Mercer County, MO",1
1262,"Miller County, MO",5
1263,"Mississippi County, MO",1
1264,"Montgomery County, MO",1
1265,"Morgan County, MO",1
1266,"New Madrid County, MO",2
1267,"Newton County, MO",2
1268,"Nodaway County, MO",2
1269,"Oregon County, MO",1
1270,"Osage County, MO",1
1271,"Pemiscot County, MO",2
1272,"Perry County, MO",1
1273,"Pettis County, MO",3
1274,"Phelps County, MO",3
1275,"Platte County, MO",8
1276,"Polk County, MO",1
1277,"Putnam County, MO",1
1278,"Randolph County, MO",2
1279,"Ray County, MO",1
1280,"Ripley County, MO",1
1281,"Saline County, MO",2
1282,"Scott County, MO",3
1283,"St. Charles County, MO",32
1284,"St. Clair County, MO",1
1285,"St. Francois County, MO",7
1286,"St. Louis County, MO",106
1287,"St. Louis city, MO",106
1288,"Ste. Genevieve County, MO",1
1289,"Stoddard County, MO",1
1290,"Stone County, MO",1
1291,"Taney County, MO",4
1292,"Texas County, MO",3
1293,"Warren County, MO",2
1294,"Washington County, MO",1
1295,"Wayne County, MO",1
1296,"Webster County, MO",6
1297,"Wright County, MO",1
1298,"Adams County, MS",5
1299,"Alcorn County, MS",2
1300,"Attala County, MS",3
1301,"Bolivar County, MS",2
1302,"Calhoun County, MS",1
1303,"Chickasaw County, MS",3
1304,"Clarke County, MS",1
1305,"Clay County, MS",1
1306,"Coahoma County, MS",2
1307,"Copiah County, MS",2
1308,"Covington County, MS",1
1309,"DeSoto County, MS",26
1310,"Forrest County, MS",10
1311,"Grenada County, MS",2
1312,"Hancock County, MS",3
1313,"Harrison County, MS",19
1314,"Hinds County, MS",22
1315,"Jackson County, MS",8
1316,"Jones County, MS",7
1317,"Lafayette County, MS",3
1318,"Lamar County, MS",6
1319,"Lauderdale County, MS",7
1320,"Leake County, MS",2
1321,"Lee County, MS",7
1322,"Leflore County, MS",3
1323,"Lincoln County, MS",2
1324,"Lowndes County, MS",5
1325,"Madison County, MS",13
1326,"Marion County, MS",2
1327,"Marshall County, MS",2
1328,"Monroe County, MS",1
1329,"Neshoba County, MS",2
1330,"Noxubee County, MS",1
1331,"Oktibbeha County, MS",4
1332,"Panola County, MS",2
1333,"Pearl River County, MS",4
1334,"Pike County, MS",5
1335,"Pontotoc County, MS",1
1336,"Prentiss County, MS",3
1337,"Rankin County, MS",16
1338,"Scott County, MS",1
1339,"Simpson County, MS",1
1340,"Stone County, MS",1
1341,"Sunflower County, MS",1
1342,"Tate County, MS",1
1343,"Tippah County, MS",1
1344,"Tishomingo County, MS",1
1345,"Union County, MS",2
1346,"Warren County, MS",5
1347,"Washington County, MS",6
1348,"Wayne County, MS",1
1349,"Winston County, MS",1
1350,"Yazoo County, MS",2
1351,"Beaverhead County, MT",1
1352,"Cascade County, MT",6
1353,"Custer County, MT",2
1354,"Dawson County, MT",1
1355,"Deer Lodge County, MT",1
1356,"Fergus County, MT",1
1357,"Flathead County, MT",6
1358,"Gallatin County, MT",5
1359,"Glacier County, MT",1
1360,"Lake County, MT",2
1361,"Lewis and Clark County, MT",5
1362,"Missoula County, MT",8
1363,"Park County, MT",1
1364,"Powell County, MT",1
1365,"Ravalli County, MT",2
1366,"Silver Bow County, MT",3
1367,"Yellowstone County, MT",16
1368,"Alamance County, NC",14
1369,"Alexander County, NC",1
1370,"Alleghany County, NC",1
1371,"Anson County, NC",1
1372,"Ashe County, NC",4
1373,"Avery County, NC",3
1374,"Beaufort County, NC",4
1375,"Bladen County, NC",2
1376,"Brunswick County, NC",15
1377,"Buncombe County, NC",44
1378,"Burke County, NC",6
1379,"Cabarrus County, NC",21
1380,"Caldwell County, NC",8
1381,"Carteret County, NC",9
1382,"Catawba County, NC",16
1383,"Chatham County, NC",5
1384,"Cherokee County, NC",4
1385,"Chowan County, NC",2
1386,"Clay County, NC",3
1387,"Cleveland County, NC",11
1388,"Columbus County, NC",3
1389,"Craven County, NC",8
1390,"Cumberland County, NC",23
1391,"Dare County, NC",8
1392,"Davidson County, NC",11
1393,"Davie County, NC",3
1394,"Duplin County, NC",4
1395,"Durham County, NC",35
1396,"Edgecombe County, NC",1
1397,"Forsyth County, NC",34
1398,"Franklin County, NC",4
1399,"Gaston County, NC",24
1400,"Graham County, NC",1
1401,"Granville County, NC",4
1402,"Greene County, NC",1
1403,"Guilford County, NC",55
1404,"Halifax County, NC",3
1405,"Harnett County, NC",7
1406,"Haywood County, NC",8
1407,"Henderson County, NC",24
1408,"Hertford County, NC",3
1409,"Hoke County, NC",1
1410,"Iredell County, NC",15
1411,"Jackson County, NC",3
1412,"Johnston County, NC",11
1413,"Jones County, NC",1
1414,"Lee County, NC",6
1415,"Lenoir County, NC",2
1416,"Lincoln County, NC",7
1417,"Macon County, NC",4
1418,"Madison County, NC",3
1419,"Martin County, NC",1
1420,"McDowell County, NC",3
1421,"Mecklenburg County, NC",101
1422,"Mitchell County, NC",5
1423,"Montgomery County, NC",1
1424,"Moore County, NC",8
1425,"Nash County, NC",8
1426,"New Hanover County, NC",28
1427,"Onslow County, NC",10
1428,"Orange County, NC",11
1429,"Pamlico County, NC",1
1430,"Pasquotank County, NC",2
1431,"Pender County, NC",7
1432,"Person County, NC",2
1433,"Pitt County, NC",17
1434,"Polk County, NC",2
1435,"Randolph County, NC",8
1436,"Richmond County, NC",2
1437,"Robeson County, NC",7
1438,"Rockingham County, NC",6
1439,"Rowan County, NC",8
1440,"Rutherford County, NC",6
1441,"Sampson County, NC",3
1442,"Scotland County, NC",3
1443,"Stanly County, NC",7
1444,"Stokes County, NC",3
1445,"Surry County, NC",8
1446,"Swain County, NC",3
1447,"Transylvania County, NC",5
1448,"Union County, NC",23
1449,"Vance County, NC",3
1450,"Wake County, NC",118
1451,"Warren County, NC",1
1452,"Washington County, NC",1
1453,"Watauga County, NC",4
1454,"Wayne County, NC",4
1455,"Wilkes County, NC",6
1456,"Wilson County, NC",6
1457,"Yadkin County, NC",2
1458,"Yancey County, NC",4
1459,"Adams County, ND",3
1460,"Barnes County, ND",4
1461,"Benson County, ND",1
1462,"Billings County, ND",1
1463,"Bottineau County, ND",2
1464,"Bowman County, ND",3
1465,"Burke County, ND",2
1466,"Burleigh County, ND",29
1467,"Cass County, ND",30
1468,"Cavalier County, ND",1
1469,"Dickey County, ND",2
1470,"Divide County, ND",1
1471,"Emmons County, ND",2
1472,"Foster County, ND",4
1473,"Golden Valley County, ND",2
1474,"Grand Forks County, ND",6
1475,"Grant County, ND",3
1476,"Griggs County, ND",1
1477,"Hettinger County, ND",3
1478,"Kidder County, ND",1
1479,"LaMoure County, ND",2
1480,"McHenry County, ND",3
1481,"McIntosh County, ND",2
1482,"McKenzie County, ND",2
1483,"McLean County, ND",6
1484,"Mercer County, ND",3
1485,"Morton County, ND",3
1486,"Mountrail County, ND",2
1487,"Nelson County, ND",1
1488,"Oliver County, ND",1
1489,"Pembina County, ND",4
1490,"Pierce County, ND",2
1491,"Ramsey County, ND",3
1492,"Ransom County, ND",5
1493,"Renville County, ND",2
1494,"Richland County, ND",7
1495,"Rolette County, ND",3
1496,"Sargent County, ND",1
1497,"Sheridan County, ND",2
1498,"Stark County, ND",7
1499,"Stutsman County, ND",3
1500,"Towner County, ND",2
1501,"Traill County, ND",3
1502,"Walsh County, ND",7
1503,"Ward County, ND",14
1504,"Wells County, ND",3
1505,"Williams County, ND",6
1506,"Adams County, NE",2
1507,"Box Butte County, NE",1
1508,"Buffalo County, NE",3
1509,"Cass County, NE",1
1510,"Chase County, NE",1
1511,"Cheyenne County, NE",1
1512,"Cuming County, NE",1
1513,"Dakota County, NE",2
1514,"Dawes County, NE",2
1515,"Dawson County, NE",2
1516,"Dodge County, NE",4
1517,"Douglas County, NE",39
1518,"Gage County, NE",1
1519,"Hall County, NE",1
1520,"Hamilton County, NE",1
1521,"Holt County, NE",1
1522,"Jefferson County, NE",1
1523,"Keith County, NE",2
1524,"Knox County, NE",1
1525,"Lancaster County, NE",23
1526,"Lincoln County, NE",2
1527,"Madison County, NE",4
1528,"Nuckolls County, NE",1
1529,"Otoe County, NE",2
1530,"Platte County, NE",3
1531,"Polk County, NE",1
1532,"Red Willow County, NE",1
1533,"Saline County, NE",1
1534,"Sarpy County, NE",10
1535,"Saunders County, NE",1
1536,"Scotts Bluff County, NE",2
1537,"Sherman County, NE",1
1538,"Valley County, NE",1
1539,"Washington County, NE",2
1540,"York County, NE",2
1541,"Belknap County, NH",2
1542,"Carroll County, NH",4
1543,"Cheshire County, NH",4
1544,"Grafton County, NH",10
1545,"Hillsborough County, NH",48
1546,"Merrimack County, NH",13
1547,"Rockingham County, NH",26
1548,"Strafford County, NH",5
1549,"Sullivan County, NH",1
1550,"Atlantic County, NJ",28
1551,"Bergen County, NJ",75
1552,"Burlington County, NJ",51
1553,"Camden County, NJ",72
1554,"Cape May County, NJ",18
1555,"Cumberland County, NJ",19
1556,"Essex County, NJ",48
1557,"Gloucester County, NJ",42
1558,"Hudson County, NJ",43
1559,"Hunterdon County, NJ",10
1560,"Mercer County, NJ",33
1561,"Middlesex County, NJ",87
1562,"Monmouth County, NJ",65
1563,"Morris County, NJ",45
1564,"Ocean County, NJ",58
1565,"Passaic County, NJ",27
1566,"Salem County, NJ",7
1567,"Somerset County, NJ",38
1568,"Sussex County, NJ",9
1569,"Union County, NJ",53
1570,"Warren County, NJ",12
1571,"Bernalillo County, NM",63
1572,"Chaves County, NM",6
1573,"Cibola County, NM",1
1574,"Curry County, NM",2
1575,"DoÌ±a Ana County, NM",12
1576,"Eddy County, NM",5
1577,"Grant County, NM",3
1578,"Lea County, NM",4
1579,"Lincoln County, NM",3
1580,"Los Alamos County, NM",2
1581,"Luna County, NM",1
1582,"McKinley County, NM",3
1583,"Otero County, NM",4
1584,"Rio Arriba County, NM",2
1585,"Roosevelt County, NM",1
1586,"San Juan County, NM",8
1587,"San Miguel County, NM",1
1588,"Sandoval County, NM",11
1589,"Santa Fe County, NM",16
1590,"Sierra County, NM",1
1591,"Socorro County, NM",1
1592,"Taos County, NM",3
1593,"Valencia County, NM",2
1594,"Carson City, NV",5
1595,"Churchill County, NV",3
1596,"Clark County, NV",243
1597,"Douglas County, NV",5
1598,"Elko County, NV",4
1599,"Humboldt County, NV",1
1600,"Lyon County, NV",4
1601,"Mineral County, NV",1
1602,"Nye County, NV",5
1603,"Washoe County, NV",38
1604,"White Pine County, NV",1
1605,"Albany County, NY",36
1606,"Allegany County, NY",2
1607,"Bronx County, NY",71
1608,"Broome County, NY",23
1609,"Cattaraugus County, NY",5
1610,"Cayuga County, NY",2
1611,"Chautauqua County, NY",12
1612,"Chemung County, NY",7
1613,"Chenango County, NY",2
1614,"Clinton County, NY",3
1615,"Columbia County, NY",4
1616,"Cortland County, NY",5
1617,"Delaware County, NY",4
1618,"Dutchess County, NY",24
1619,"Erie County, NY",91
1620,"Essex County, NY",1
1621,"Franklin County, NY",2
1622,"Fulton County, NY",4
1623,"Genesee County, NY",5
1624,"Greene County, NY",2
1625,"Herkimer County, NY",2
1626,"Jefferson County, NY",4
1627,"Kings County, NY",113
1628,"Livingston County, NY",4
1629,"Madison County, NY",4
1630,"Monroe County, NY",53
1631,"Montgomery County, NY",5
1632,"Nassau County, NY",107
1633,"New York County, NY",166
1634,"Niagara County, NY",21
1635,"Oneida County, NY",20
1636,"Onondaga County, NY",33
1637,"Ontario County, NY",7
1638,"Orange County, NY",29
1639,"Orleans County, NY",3
1640,"Oswego County, NY",5
1641,"Otsego County, NY",4
1642,"Putnam County, NY",8
1643,"Queens County, NY",98
1644,"Rensselaer County, NY",15
1645,"Richmond County, NY",43
1646,"Rockland County, NY",20
1647,"Saratoga County, NY",21
1648,"Schenectady County, NY",16
1649,"Schoharie County, NY",3
1650,"Schuyler County, NY",1
1651,"Seneca County, NY",1
1652,"St. Lawrence County, NY",7
1653,"Steuben County, NY",6
1654,"Suffolk County, NY",100
1655,"Sullivan County, NY",4
1656,"Tioga County, NY",2
1657,"Tompkins County, NY",2
1658,"Ulster County, NY",12
1659,"Warren County, NY",16
1660,"Washington County, NY",6
1661,"Wayne County, NY",8
1662,"Westchester County, NY",73
1663,"Yates County, NY",3
1664,"Adams County, OH",4
1665,"Allen County, OH",20
1666,"Ashland County, OH",5
1667,"Ashtabula County, OH",21
1668,"Athens County, OH",12
1669,"Auglaize County, OH",11
1670,"Belmont County, OH",14
1671,"Brown County, OH",5
1672,"Butler County, OH",47
1673,"Carroll County, OH",6
1674,"Champaign County, OH",5
1675,"Clark County, OH",21
1676,"Clermont County, OH",32
1677,"Clinton County, OH",9
1678,"Columbiana County, OH",20
1679,"Coshocton County, OH",7
1680,"Crawford County, OH",10
1681,"Cuyahoga County, OH",220
1682,"Darke County, OH",8
1683,"Defiance County, OH",7
1684,"Delaware County, OH",28
1685,"Erie County, OH",10
1686,"Fairfield County, OH",17
1687,"Fayette County, OH",6
1688,"Franklin County, OH",162
1689,"Fulton County, OH",7
1690,"Gallia County, OH",4
1691,"Geauga County, OH",17
1692,"Greene County, OH",25
1693,"Guernsey County, OH",7
1694,"Hamilton County, OH",135
1695,"Hancock County, OH",9
1696,"Hardin County, OH",6
1697,"Harrison County, OH",3
1698,"Henry County, OH",4
1699,"Highland County, OH",10
1700,"Hocking County, OH",5
1701,"Holmes County, OH",5
1702,"Huron County, OH",11
1703,"Jackson County, OH",9
1704,"Jefferson County, OH",13
1705,"Knox County, OH",9
1706,"Lake County, OH",34
1707,"Lawrence County, OH",9
1708,"Licking County, OH",19
1709,"Logan County, OH",12
1710,"Lorain County, OH",52
1711,"Lucas County, OH",73
1712,"Madison County, OH",7
1713,"Mahoning County, OH",39
1714,"Marion County, OH",12
1715,"Medina County, OH",25
1716,"Meigs County, OH",3
1717,"Mercer County, OH",6
1718,"Miami County, OH",9
1719,"Monroe County, OH",1
1720,"Montgomery County, OH",91
1721,"Morgan County, OH",3
